text;label;
dickvag;1;0,766388443
strength;0;0,8889392
interest;0;0,560194179
desk;0;0,79052898
concert;0;0,776354386
pedestrian;0;0,478264103
integration;0;0,812979657
debt;0;0,733697097
tiger;0;0,591516214
consultation;0;0,71036902
harry palms;1;0,228565409
clock;0;0,034191878
day;0;0,029014579
worm;0;0,779887137
choke the chicken;1;0,731377396
motherfvckers;1;0,363039993
double dick;1;0,475763215
electric car;0;0,552042561
fuck arse;1;0,04645365
jagoff;1;0,544800771
cocksucking;1;0,296026179
knobeads;1;0,581056248
rehearsal;0;0,42375219
pool;0;0,646294674
editor;0;0,532528494
it;0;0,566111656
unification;0;0,928262797
aboe;1;0,527624239
actress;0;0,725136579
b1tch35;1;0,121638629
phags;1;0,426644346
jizzing;1;0,204694533
cost;0;0,184766619
scholar;0;0,223074519
bag;0;0,379359744
kiss my ass;1;0,338514909
fck;1;0,951285809
limit;0;0,782637368
higg3r;1;0,328121802
p0rt;0;0,051090792
couch;0;0,345731163
mushroom tip;1;0,853228636
watermelon;0;0,477850938
current;0;0,081320137
knobe;1;0,968773433
can opener;0;0,452702349
pistachio;0;0,19029224
holiday;0;0,716032968
monitor;0;0,340145899
justice;0;0,41317247
4r5es;1;0,152188618
sofa;0;0,340315957
dick sucker;1;0,606861335
shelf;0;0,575145361
cuntz;1;0,508742736
nobs;1;0,781057182
lady-boy;1;0,226069604
mothafucks;1;0,459043869
its;0;0,46698441
mofucckers;1;0,929120081
investigation;0;0,92285845
jiggyboo;1;0,942238262
butt-fucker;1;0,137650265
with;0;0,519448379
slag;1;0,792934761
stair;0;0,415779737
turkey;0;0,473811334
hustler;1;0,372150003
posture;0;0,454700755
motherfcks;1;0,850468239
kneegrows;1;0,071932673
leadership;0;0,663839598
outcome;0;0,458668174
ass fecker;1;0,662661219
octopussy;1;0,681239322
thought;0;0,573883565
go;0;0,635186634
bedspread;0;0,76452123
hoes;1;0,134449348
ragheads;1;0,06996723
ocean;0;0,304575931
fucca;1;0,375351077
gook;1;0,797544181
headphones;0;0,905168774
bugger;1;0,946194498
director;0;0,413615685
adventurer;0;0,160370602
smile;0;0,2587106
mudderfuk;1;0,483592337
overhead;0;0,173765811
mfukker;1;0,869483111
sidewalk;0;0,838006422
nail;0;0,102545015
fvckker bunny;1;0,723778677
dress;0;0,930953724
mothafuckaz;1;0,434212855
thunder;0;0,396563665
muff;1;0,970224706
leadership;0;0,684731045
sh1ts;1;0,832928643
dipshite;1;0,372191477
factory;0;0,889089563
pig fucker;1;0,686685362
architect;0;0,477117761
expansion;0;0,55594437
mother;0;0,008414168
fookuh;1;0,055414939
think;0;0,837204367
function;0;0,092333779
mothafuckeds;1;0,380984747
ragtard;1;0,812373622
fuck your;1;0,035350028
script;0;0,245236074
finger;1;0,647542091
what;0;0,390015917
niglet;1;0,382135403
creativity;0;0,984416818
basturd;1;0,939070112
father;0;0,113789671
motherfuckin;1;0,671508011
g0ddamnit;1;0,591507433
frying pan;0;0,544050535
visitor;0;0,537983068
suck my dick;1;0,150087483
assmuncher;1;0,702112167
phishing;0;0,475931802
command;0;0,11601466
depreciation;0;0,205349471
inspiration;0;0,793052081
engagement;0;0,128101553
apeshit;1;0,307460537
m@asterbated;1;0,608666521
pedo;1;0,833919151
cuntless;1;0,544728861
escalator;0;0,83776578
transformation;0;0,218748882
beyoch;1;0,637337912
assh0le;1;0,726144935
clarification;0;0,342455954
cosmetics;0;0,717806152
shemale;1;0,401361148
b1tchin;1;0,711837004
jerkoff jerking off;1;0,463046275
paper towel;0;0,889328792
MFers;1;0,256736958
wisdom;0;0,046227688
hippopotamus;0;0,326611756
shut the fuck up;1;0,479483441
goddamn son of a bitch;1;0,041288602
cameltoe;1;0,852956176
l@dyb0y;1;0,508894542
crocodile;0;0,152696972
dong;1;0,757343018
thinker;0;0,57945328
mothafucker;1;0,776667889
goal;0;0,392953922
glacier;0;0,277836646
cawk muncher;1;0,67148075
jiggerboos;1;0,822567643
pack my fudge;1;0,216040544
solution;0;0,865384348
nigers;1;0,273578897
truth;0;0,248989099
prick-face;1;0,694504074
presentation;0;0,821670321
microwave;0;0,304816428
jackoff;1;0,155816266
fuck faces;1;0,025921378
motha fucka;1;0,722606621
fish;0;0,397178219
f0ckers;1;0,724093267
hour;0;0,39886269
dogstyle;1;0,727464694
trashbitchez;1;0,5235593
music;0;0,29791463
celebration;0;0,582002703
gowl;1;0,385167003
faggot mofoes;1;0,725004747
slantfreak;1;0,95362547
microphone;0;0,598053959
evaluation;0;0,085877123
loyalty;0;0,479473387
scumfucker;1;0,956710673
curiosity;0;0,069599881
evolution;0;0,584051556
shit fuck;1;0,251519849
cooking pot;0;0,897058786
island;0;0,17394186
card;0;0,541177371
forked;1;0,914024056
knobgobbler;1;0,175142008
furniture;0;0,00495323
modification;0;0,581241537
fothermuckers;1;0,697612952
cuksuker;1;0,446880098
fuckshitface;1;0,232314561
butterfly;0;0,081107859
Tranny;1;0,697015942
cagone;1;0,517420851
fuckaz;1;0,13489642
ladyboys;1;0,118722606
arse-bandits;1;0,433259686
pussywhipped;1;0,683181771
traveler;0;0,387821881
costume;0;0,249160796
mfckers;1;0,789874361
shitfucker;1;0,282671798
shampoo;0;0,6465212
wank3r;1;0,009997802
shitfudgefucker;1;0,939619816
shytfeisterfuck;1;0,941878366
grape;0;0,201788234
ass-fucker;1;0,84546834
respect;0;0,956971
motherfckin;1;0,848718305
holiday;0;0,963914371
sperm;1;0,045078294
webcam;0;0,767518881
problem;0;0,532370497
dick-face;1;0,288966129
sheet;0;0,470616495
meat-sword;1;0,669706893
packing fudgehead;1;0,907995373
believer;0;0,912760178
mattress;0;0,077644037
my;0;0,537179672
fuckk;1;0,425626399
p3nisfvcker;1;0,350616457
you;0;0,25795542
reflection;0;0,064816185
responsiveness;0;0,49453411
patience;0;0,78450154
ladboyz;1;0,371662485
parrot;0;0,618677822
knob3d;1;0,23067617
bitchass;1;0,676573957
m0fos;1;0,198375755
dialogue;0;0,048358377
hare;0;0,776953716
loyalty;0;0,249839453
determination;0;0,987468328
dipshat;1;0,66350298
modernization;0;0,817588962
fvck;1;0,718895564
optimization;0;0,168396314
morning;0;0,688946917
stadium;0;0,196934869
patience;0;0,039416026
fuggings;1;0,604421977
hater;1;0,907435362
clarity;0;0,60385478
maintenance;0;0,506617748
s-lut;1;0,53238502
0rgasms;1;0,296645459
vacation;0;0,79678537
passion;0;0,285152558
onion;0;0,873871163
fuckass;1;0,72398056
dickfucker;1;0,513660371
pole licker;1;0,192933163
process;0;0,87978523
strategy;0;0,041798777
smartphone;0;0,076352171
brush;0;0,055220719
achievement;0;0,409797658
ass-bandit;1;0,170071201
flower;0;0,43721881
clarity;0;0,018536135
postcard;0;0,628774688
trasherbitch;1;0,632330619
batshit;1;0,182054153
nigasses;1;0,244749435
phuked;1;0,137114956
equilibrium;0;0,623545406
fook;1;0,97598943
focus;0;0,685454338
pocket;0;0,395149387
fukkers;1;0,171083121
wankers;1;0,969954261
shiester;1;0,955694971
m@derfuckers;1;0,054283637
wave;0;0,292640796
software;0;0,7506889
arse-hole;1;0,280221102
jungle;0;0,039403102
paint;0;0,384172746
efficiency;0;0,853796735
ship;0;0,048360026
dog;0;0,389135879
alignment;0;0,245891824
apple;0;0,564371857
letter;0;0,431740384
dedication;0;0,916060677
tourist;0;0,362963334
jizzy;1;0,273712915
synchronization;0;0,740283448
hoe;1;0,066187718
b1otchs;1;0,021956804
pu55y;1;0,154644712
sofa;0;0,148627688
mother effer;1;0,73076979
emotion;0;0,100460314
trust;0;0,214397902
niggir;1;0,160510458
sphincter;1;0,013444543
sh1tsome;1;0,616259224
fucx;1;0,730936743
shiat;1;0,24076808
m0f0s;1;0,381834616
b0llocks;1;0,25187744
dick milker;1;0,976924335
support;0;0,41369554
goddammit;1;0,964330589
jellyfish;0;0,521471388
diversification;0;0,155256585
bathroom;0;0,083436389
structure;0;0,33960682
moon;0;0,354897188
tomato;0;0,031301654
knobeds;1;0,935169072
rectum;1;0,604939625
nigg@s;1;0,483883762
shitfaced;1;0,788765972
anger;0;0,821294934
for;0;0,878146565
jerking off;1;0,217527265
godd@amn;1;0,555402057
pork;0;0,17657657
g@yshit;1;0,012602712
fukk;1;0,414970216
arsefuck;1;0,744960662
sh1t3;1;0,018279955
tunnel;0;0,58040114
d1ckhead;1;0,698832495
punkasses;1;0,068224654
sun;0;0,822677432
blouse;0;0,974494044
ladboys;1;0,442224721
device;0;0,183013216
shiesterfuckhead;1;0,762096785
nigga;1;0,227490153
m0therfucking;1;0,207365589
trousersnake;1;0,86842683
assfukker;1;0,540840936
communication;0;0,179329302
fagg0t;1;0,963678683
nobbyhead;1;0,53962684
phuck3r;1;0,526642982
family;0;0,358930672
implementation;0;0,818348621
also;0;0,672800095
door;0;0,373866872
portfolio;0;0,28524298
dancer;0;0,053828488
strength;0;0,743482673
wisdom;0;0,713531929
muthafecker;1;0,952884241
fvckbunny;1;0,522739193
dirty sanchez;1;0,026544401
milk;0;0,980100497
shit for brains;1;0,103217259
niggazzes;1;0,797777954
swan;0;0,047558827
caaak;1;0,9412664
nigah;1;0,895575398
magnolia;0;0,951213432
pedos;1;0,030432295
harvest;0;0,162065331
teamwork;0;0,742428062
optimization;0;0,124760885
collaboration;0;0,158768974
efficiency;0;0,874284693
jackoffs;1;0,182902818
pigshit;1;0,10287475
knob gobbler;1;0,239034904
dolphin;0;0,489502788
psychologist;0;0,454072023
godd@mnit;1;0,319831875
cow;0;0,764853214
newsstand;0;0,537680366
reflection;0;0,557558558
chinese-virus;1;0,499284197
beeotch;1;0,316120318
explanation;0;0,171136099
transmission;0;0,316544547
strategy;0;0,891668585
pothole;0;0,060468905
punani;1;0,658679672
packsomefudgefucker;1;0,574653963
direction;0;0,008454994
sh1t;1;0,187155824
motherfuckers;1;0,69247961
cock jockey;1;0,716551546
muthafuckings;1;0,553958313
Ch1ll;0;0,51879447
help;0;0,625386281
illustrator;0;0,128140453
producer;0;0,701996934
shitfuck;1;0,983951439
seed;0;0,903956979
train;0;0,245291288
shitfck;1;0,295912238
citizen;0;0,838697165
fudgepackers;1;0,095442116
understanding;0;0,206568312
trasherbitchs;1;0,83192616
muthafuckkers;1;0,65121327
progress;0;0,875673471
cashew;0;0,31069499
flashlight;0;0,079579292
protocol;0;0,766658701
discipline;0;0,160176589
window;0;0,772274401
cock-sucker;1;0,283292239
egg;0;0,363768087
duck;0;0,050000502
mfs;1;0,819943692
compassion;0;0,188436512
formula;0;0,172108291
knobjockies;1;0,593043791
markasses;1;0,969293747
cooni3s;1;0,034946239
loop;0;0,928877472
fuck up;1;0,904881549
actress;0;0,525067659
comprehension;0;0,302113787
shitfvck;1;0,941461181
cock-gobbler;1;0,476870275
motherfuckingshit;1;0,129881446
jerk-off;1;0,937888865
jiggabooboo;1;0,802913354
fkings;1;0,087252852
market;0;0,80367513
niggah;1;0,785786587
highway;0;0,297314781
warehouse;0;0,411910821
dogsh1ts;1;0,061181195
cup;0;0,49825924
creativity;0;0,524496931
knob-face;1;0,957497117
table;0;0,783332627
solution;0;0,722674141
show;0;0,027476021
anal;1;0,741582196
field;0;0,025510955
plateau;0;0,487989996
shitfreak;1;0,828227548
cocksuccer;1;0,239523535
laugh;0;0,332774839
brush;0;0,852899365
fear;0;0,137695616
show;0;0,343175703
their;0;0,324504716
throater;1;0,057049023
d!cks;1;0,907558872
path;0;0,942930671
flamer;1;0,830274742
finance;0;0,479060997
tool;0;0,377074025
book;0;0,450815134
cloud;0;0,675308276
motherfuccers;1;0,193739439
hope;0;0,5493092
prioritization;0;0,406922191
our;0;0,264593987
pizza;0;0,088885864
spoon;0;0,305936761
connection;0;0,69977461
rainbow;0;0,503689997
fuel;0;0,515317865
baby batter;1;0,130776691
use;0;0,594340666
answer;0;0,755363122
grassland;0;0,796644009
n0bj0cky;1;0,909224448
fkker;1;0,427364186
sofa;0;0,222655284
home;0;0,218733933
collaboration;0;0,55181669
responsibility;0;0,615273241
b1tches;1;0,750462026
volunteer;0;0,005433056
fcuker;1;0,569000818
automation;0;0,318569247
puzzy;1;0,324546917
n1ggahs;1;0,69576142
camera;0;0,750526232
snatch licker;1;0,299323441
pussy licking;1;0,901076768
implementation;0;0,369834407
knobhead;1;0,197208163
fckking;1;0,917768478
clitlickers;1;0,917679181
perseverance;0;0,553857818
shorts;0;0,058426217
vine;0;0,522753624
jigro;1;0,425006768
openness;0;0,836692753
stove;0;0,940849194
patience;0;0,306733222
newspaper;0;0,460680734
application;0;0,245657699
perfume;0;0,237784846
dipshidiot;1;0,978788175
umbrella;0;0,929487059
assfvcker;1;0,945410262
phone;0;0,049841456
friend;0;0,632476522
accountability;0;0,210334896
diversity;0;0,100030612
question;0;0,732639258
mofos;1;0,517311479
cockmunch;1;0,761068351
futhamucka;1;0,578086318
studio;0;0,942062471
phuccer;1;0,078426063
cheese;0;0,300717591
hooters;1;0,474704069
dickjockies;1;0,109987238
nigger lover;1;0,478795654
cobb knobbler;1;0,778671683
ass hole;1;0,87505727
assfukkerz;1;0,162529824
accomplish;0;0,444234195
bullshi;1;0,011174646
motherfucca;1;0,177619172
cocks;1;0,801392675
gym;0;0,902270612
son of a bitch;1;0,492592724
fog;0;0,305915584
nigg@zzes;1;0,1046915
arse-fucker;1;0,430373376
pissoffs;1;0,163388546
chinavirus;1;0,929030222
lamp;0;0,045675232
cumz;1;0,94662159
shitty;1;0,757332349
c0xux0r;1;0,891532988
shittyfuckface;1;0,024575076
deer;0;0,270882112
m0foes;1;0,559338824
deer;0;0,575661527
fuckless;1;0,301016723
sweater;0;0,048857985
nature;0;0,681097387
shitfacefuck;1;0,41799698
savings;0;0,390945624
clusterfuck;1;0,388980846
tart;1;0,130670651
coat;0;0,282208068
strawberry;0;0,691752529
jiggerboo;1;0,947357998
on;0;0,148272211
reflection;0;0,154549475
sonz of bitchez;1;0,429393961
intuition;0;0,897946789
expenditure;0;0,791385143
pixel;0;0,284056832
canyon;0;0,522308077
phuckings;1;0,570216634
pedobear;1;0,383823767
motherfukka;1;0,95103807
unity;0;0,51816259
fuckstick;1;0,150775062
wank;1;0,176938775
cupboard;0;0,812862531
shore;0;0,254671543
strategy;0;0,906424927
phagot;1;0,101624316
fckked;1;0,326407282
snail;0;0,141874384
intern;0;0,311972517
fagging;1;0,175235708
mistake;0;0,225119761
adaptability;0;0,720010984
compliance;0;0,951999629
sh1te;1;0,838980162
intersection;0;0,999394276
impulse;0;0,649652979
mufdive;1;0,299251562
fuck y0u;1;0,173764206
stupidasses;1;0,53155018
dipshitter;1;0,470494354
compost;0;0,118733483
fuccers;1;0,231861265
shtfuk;1;0,608347672
beach;0;0,100981439
homo asses;1;0,109195657
slut hole;1;0,898366406
paper;0;0,230104333
sugar;0;0,183784487
glove;0;0,442684377
nympho;1;0,679036741
baboon;0;0,281820738
latency;0;0,93231956
bitchhole;1;0,063365721
earring;0;0,134938424
peeler;0;0,083908908
executive;0;0,256384519
horse;0;0,310908036
cat;0;0,147095846
fish;0;0,416578117
iron;0;0,260403449
bullshite;1;0,283242926
almond;0;0,891792537
parrot;0;0,561837583
suggestion;0;0,560616863
luck;0;0,468386572
boutique;0;0,762310932
sadness;0;0,002315364
knowledge;0;0,450251096
pussys;1;0,615955151
puss;1;0,353638511
ambition;0;0,171558324
fick;1;0,528735651
excellence;0;0,125299883
table;0;0,992719206
eagle;0;0,223104589
leadership;0;0,911447434
vigor;0;0,73991876
0rg@sm;1;0,707688103
vehicle;0;0,867126625
d1cksukka;1;0,191223718
h4cker;0;0,60847359
bi+ch;1;0,749138673
park;0;0,356085578
commitment;0;0,60553968
cuntbag;1;0,814461894
walk;0;0,24768658
knob-gobbler;1;0,608548284
b1tchees;1;0,002134287
jacket;0;0,424732492
hardware;0;0,542579506
dicksmoker;1;0,62038005
take;0;0,65757621
storm;0;0,218243976
optimization;0;0,878743739
bellend;1;0,783300633
shitted;1;0,495248949
buttfucker;1;0,968391323
furniture;0;0,663595137
water;0;0,897924382
expression;0;0,20394577
wolf;0;0,071483371
dumb@ss;1;0,369478191
f@ggot;1;0,033348719
pan;0;0,182481198
time;0;0,299740789
injun;1;0,380761013
shit-fucker;1;0,535876982
vegetable;0;0,381789924
cocksuk;1;0,10112456
makeup;0;0,49556095
office;0;0,958322238
trashybitches;1;0,42546428
healslut;1;0,528692127
editing;0;0,619397376
scientist;0;0,476202452
pillow;0;0,869950672
dipsh1tty;1;0,759547295
when;0;0,807419647
garlic;0;0,499509767
cockh3ad;1;0,281683808
wh0re;1;0,251316384
c0cksucker;1;0,992037499
desert;0;0,971875967
imagination;0;0,512550369
couch;0;0,850197183
dolphin;0;0,689565612
niguh;1;0,416776922
biatch;1;0,32532277
balance;0;0,160324302
cockheads;1;0,605431929
cloud;0;0,546056052
slanteye;1;0,22109674
clarity;0;0,47440466
suck;1;0,575298336
dicks;1;0,042208898
choice;0;0,406383261
calendar;0;0,473214469
stupid fucker;1;0,134505555
man chowder;1;0,733505125
fuker;1;0,529745736
elk;0;0,28241109
flashlight;0;0,742633769
broker;0;0,763417032
faget;1;0,620237679
assertiveness;0;0,341246356
advice;0;0,077913491
tap;0;0,488792955
phvckings;1;0,643143222
motherfuckkas;1;0,498241856
jeans;0;0,836199716
shit licker;1;0,806612648
nobjokey;1;0,938536515
tiger;0;0,899115192
velocity;0;0,155864678
baking tray;0;0,202578255
equality;0;0,987454652
cooperation;0;0,0769689
nigga lover;1;0,935340893
fcuking;1;0,083447801
professionalism;0;0,920415854
weather;0;0,659107605
this;0;0,736309745
knobendz;1;0,095059172
tolerance;0;0,306522093
coach;0;0,52646012
nigger;1;0,562019192
shittydick;1;0,585934998
dick head;1;0,177815218
switch;0;0,835625445
nigs;1;0,286022166
piss off fuckhead;1;0,067306686
pioneer;0;0,916942052
tape;0;0,427936612
technician;0;0,177190973
integrity;0;0,167628193
selection;0;0,063546296
darkfuck;1;0,201050784
piggyfuck;1;0,587212312
bus;0;0,708744554
cinema;0;0,583240479
bbc;1;0,096146157
faggo;1;0,300295567
receiver;0;0,64702385
bar;0;0,624809565
book;0;0,8239061
label;0;0,171162726
cow;0;0,240582784
nigg4h;1;0,682410092
n1ggazes;1;0,690141636
peen;1;0,439183494
manager;0;0,026540204
god damn it;1;0,006112476
f@gshit;1;0,056326978
cookie;0;0,36519109
ape shit;1;0,025304296
69;1;0,295694294
actor;0;0,231634706
area;0;0,839418224
charger;0;0,377065788
redskin;1;0,645163378
motherfecka;1;0,559960656
biologist;0;0,976986089
ass fucker;1;0,096533927
man meat;1;0,655803106
bucket;0;0,163659266
dog-fucker;1;0,12663639
city;0;0,428848662
butt fuck;1;0,312671079
performance;0;0,377126446
cawks;1;0,769936824
k1k3;1;0,958081102
spick;1;0,265045554
knobead;1;0,452860018
bollocktician;1;0,436088746
dryer;0;0,53669843
measurement;0;0,809815035
lobster;0;0,457914074
technology;0;0,090042189
dog;0;0,222865316
guest;0;0,554731197
shitfuckmotherfucker;1;0,782279888
phucker;1;0,849566792
like;0;0,405739486
pilgrim;0;0,791223311
gay ass;1;0,187439642
fuckshithead;1;0,16061398
shlong;1;0,975577477
audition;0;0,953939885
fuck goblin;1;0,719751436
adaptability;0;0,074442668
toothbrush;0;0,5898424
fucking;1;0,058599926
strategy;0;0,284146112
5kank;1;0,938077683
pull the pud;1;0,897590194
pasta;0;0,47561833
fckahz;1;0,086322267
sand nigger;1;0,174469049
lime;0;0,82090973
loan;0;0,962368435
museum;0;0,185195107
bedroom;0;0,123717428
tornado;0;0,064277057
keyboard;0;0,530288476
fucc;1;0,596077881
whale;0;0,367045309
klan;1;0,603576178
impact;0;0,375734856
armchair;0;0,222087464
washing machine;0;0,961539431
jerkoff;1;0,460791867
g@ylord;1;0,3844703
fuckhead;1;0,100334377
ambition;0;0,523598914
deodorant;0;0,018717277
appliance;0;0,772339321
package;0;0,766367744
sh3mal3;1;0,013890084
networking;0;0,074198756
cooter;1;0,443342018
sl@nteye;1;0,780385724
development;0;0,764144188
double pen;1;0,434259593
elevator;0;0,18648775
m0thafucker;1;0,131881276
mouse;0;0,609187082
n1ckker;1;0,329575235
god-dam;1;0,329536604
skankz;1;0,863274057
hotel;0;0,654969509
wise ass;1;0,811535043
mother;0;0,884065562
up;0;0,045614134
empowerment;0;0,182348883
scut;1;0,272742631
respect;0;0,385322388
skank;1;0,968751979
puussy;1;0,573226118
suck off;1;0,758501142
shop;0;0,841127847
her;0;0,121778273
mountain;0;0,685361731
river;0;0,035494921
g@y b1tch;1;0,314428194
sister;0;0,744558346
dlcks;1;0,669984925
composer;0;0,886821432
cawkmuncher;1;0,860095401
makeup;0;0,943769506
fcking;1;0,93168473
mall;0;0,883642621
cockboy;1;0,50364851
library;0;0,604099426
asshol3;1;0,907893338
mofoshit;1;0,336915688
f'er;1;0,043953996
kindness;0;0,444400992
beyotch;1;0,810058588
fux0r;1;0,369964524
him;0;0,602528127
credit;0;0,628782783
pants;0;0,072225798
fckin;1;0,697357478
call;0;0,240446156
knobjokey;1;0,085816349
analysis;0;0,786296783
lie;0;0,776593498
from;0;0,93998673
dafuq;1;0,251226307
butt pirate;1;0,07009801
cotton picker;1;0,015414157
retard;1;0,952042496
improvement;0;0,397320548
fxck;1;0,000180102
Channel;0;0,432475649
dumbass mothafuckers;1;0,519680794
strategy;0;0,166981094
chestnut;0;0,585359644
air conditioner;0;0,576301146
chopsticks;0;0,84747079
ticket;0;0,627001786
shit fucker;1;0,693201044
measuring cup;0;0,594009506
backpack;0;0,99210415
wankbastard;1;0,474155012
godamnit;1;0,686199034
experience;0;0,893192418
chair;0;0,83752829
crew;0;0,307209775
4skin;1;0,802295257
heeb;1;0,962307241
mofuk;1;0,047134096
d0ggy style;1;0,15081497
prick-gobbler;1;0,207251463
protocol;0;0,119076233
spix;1;0,622018351
llama;0;0,48302288
sunshine;0;0,600552867
phuk;1;0,478512902
lightning;0;0,594513048
opportunity;0;0,023528346
l3itch;1;0,793884847
gratitude;0;0,322567795
kike;1;0,863048905
exercise;0;0,081721678
fukheads;1;0,113298601
fukkuh;1;0,694483303
signal;0;0,732559478
motherfvcked;1;0,034948062
mofcker;1;0,521995275
nicker;1;0,191362765
motha fuckers;1;0,127494156
fag0t;1;0,008021705
architecture;0;0,780353354
resident;0;0,999937306
butt-munchers;1;0,745964485
family;0;0,561426566
printer;0;0,305072669
k1ke;1;0,084534207
backstage;0;0,945642711
consultant;0;0,274811111
lane;0;0,065549517
toothbrush;0;0,814863448
kiss ass;1;0,583288352
manual;0;0,24373962
corridor;0;0,28295825
slanteyeshit;1;0,686933701
fox;0;0,710840921
volume;0;0,560476747
mirror;0;0,884574218
finger fuck;1;0,156465957
reflection;0;0,026473208
knobd;1;0,303509554
crosswalk;0;0,937163974
optimization;0;0,04470251
muffdiving;1;0,786513959
equity;0;0,956781571
sis;0;0,231975779
snatch;1;0,595306774
pool;0;0,092123427
coot;1;0,943954377
jizz;1;0,780321532
hammer;0;0,613272012
accommodation;0;0,232835698
phukker;1;0,912340275
shmale;1;0,535697753
pig;0;0,636639011
clarification;0;0,472646299
shitfk;1;0,301164779
he;0;0,422936726
crow;0;0,884787875
bank;0;0,331169937
jizzbags;1;0,542114316
dishwasher;0;0,353858148
window licker;1;0,316672962
conditioner;0;0,679803448
soppy bollucks;1;0,845638895
jungle;0;0,468279744
fcuked;1;0,09599623
fcvking;1;0,314589823
grocery;0;0,513374987
chicken;0;0,901288073
d!ldo;1;0,907758149
penisfvckers;1;0,72008595
counter;0;0,690704188
nigguh;1;0,722600082
chingchong;1;0,797590107
motivation;0;0,481463347
knob;1;0,277232553
mofuckkas;1;0,076015305
c0ke;0;0,181352047
know;0;0,970843435
b1+ch;1;0,123371878
slug;0;0,99589948
mothafuccer;1;0,230647881
@ssfvcker;1;0,710001502
funbags;1;0,141318906
fkbny;1;0,85320498
father;0;0,37351386
bitchy ass;1;0,513188632
grater;0;0,27808542
sun;0;0,911637386
arsehole;1;0,015888417
axe wound;1;0,276098457
5h1t;1;0,109577128
shit-stuffers;1;0,152392514
snow;0;0,875450926
floor;0;0,291993199
revenue;0;0,557108497
negroes;1;0,852073154
nigg@;1;0,271691852
mongoloid;1;0,243567292
sh3male;1;0,590771697
motherfcked;1;0,025569473
innovation;0;0,750107788
wolf;0;0,399109468
assface;1;0,790124097
hat;0;0,65032328
mothafucking;1;0,071772394
bwc;1;0,551692171
creek;0;0,166423664
jizzfucker;1;0,334017736
cock snot;1;0,21243305
cocksuka;1;0,655652314
b！tch;1;0,318951981
dick-gobbler;1;0,539895759
ruler;0;0,812560041
horse's asses;1;0,490935274
fcker;1;0,731563633
mother;0;0,990048396
daisy;0;0,544248194
shithole;1;0,63219179
ass licking;1;0,58238443
streamlining;0;0,625897234
dothead;1;0,546263219
bracelet;0;0,913395367
carpet;0;0,058799905
fcked;1;0,81851134
ja1lbait;1;0,823505226
b17ch;1;0,764397677
integrity;0;0,848981952
fellator;1;0,974360999
robin;0;0,713068882
humidity;0;0,641232657
motherfucking;1;0,84022501
service;0;0,998993461
day;0;0,676375116
monkey;0;0,503895496
simplification;0;0,842722229
slut;1;0,948695972
p0rtable;0;0,714196429
would;0;0,845982635
burger;0;0,442581556
peace;0;0,726281779
backup;0;0,464232373
assfukka;1;0,441263372
clusterfucks;1;0,0244742
twat waffle;1;0,629205556
solidarity;0;0,116319912
retardotron;1;0,185400448
tea;0;0,550406412
motherfukkings;1;0,471028732
artist;0;0,147371
carpetmunching;1;0,748048737
ladyb0y;1;0,87666219
sh1theads;1;0,972482445
f@gs;1;0,99193495
vajayjay;1;0,519548935
strategy;0;0,141040577
feeling;0;0,107321283
punk ass mofoes;1;0,765483298
fucktard;1;0,617664316
